Time,s	Temp1,C	Temp2,C	Temp3,C	Temp4,C	Freq, Hz	Deriv, Hz/s
0	26.281744	26.288141	999.900024	999.900024	2000011.125000	0
0.045	26.274340	26.278667	999.900024	999.900024	2000007.875000	0
0.111	26.242327	26.298143	999.900024	999.900024	2000009.625000	0
0.169	26.242327	26.298143	999.900024	999.900024	2000009.625000	0
0.233	26.262434	26.290510	999.900024	999.900024	2000007.875000	0
0.297	26.262434	26.290510	999.900024	999.900024	2000012.750000	0
0.36	26.264286	26.301567	999.900024	999.900024	2000009.625000	0
0.425	26.240477	26.305252	999.900024	999.900024	2000014.250000	0
0.486	26.240477	26.305252	999.900024	999.900024	2000011.125000	6.2000437442355840000619387406
0.552	26.256084	26.280508	999.900024	999.900024	2000009.625000	5.9467958162076060018005772602
0.614	26.259258	26.290510	999.900024	999.900024	2000009.625000	2.1210367970377227493635732469
0.674	26.259258	26.290510	999.900024	999.900024	2000009.625000	0.1662814479788489998170904072
0.738	26.241796	26.301567	999.900024	999.900024	2000007.875000	-3.6590612079750349965817292264
0.797	26.241796	26.301567	999.900024	999.900024	2000009.625000	-7.5870557626496900817678682737
0.856	26.266401	26.302355	999.900024	999.900024	2000009.625000	-5.4939218482190439153667775713
0.92	26.258730	26.302881	999.900024	999.900024	2000009.625000	-6.7500352244404172517162804934
0.983	26.258730	26.302881	999.900024	999.900024	2000009.625000	-1.6600492046866246072150634546
1.047	26.254499	26.303408	999.900024	999.900024	2000009.625000	0.4600308426721342017141970907
1.114	26.241796	26.299723	999.900024	999.900024	2000012.750000	4.3359934652345308951422804494
1.181	26.241796	26.299723	999.900024	999.900024	2000011.125000	5.4759310479702735171681613723
1.24	26.257673	26.292879	999.900024	999.900024	2000006.250000	1.1170526490401894738782243275
1.292	26.257673	26.292879	999.900024	999.900024	2000011.125000	0.5205145758032922285325232668
1.36	26.244976	26.304726	999.900024	999.900024	2000009.625000	-0.2000330124412140744906152344
1.422	26.247355	26.297091	999.900024	999.900024	2000014.250000	3.9548708008992858445641686189
1.484	26.247355	26.297091	999.900024	999.900024	2000009.625000	2.0141460829065414212194592236
1.549	26.257673	26.289719	999.900024	999.900024	2000007.875000	-1.8802201252107791823838198629
1.613	26.265343	26.297617	999.900024	999.900024	2000011.125000	-1.7814069915750566145783623854
1.673	26.265343	26.297617	999.900024	999.900024	2000011.125000	2.1122465640276990750967642793
1.737	26.269842	26.286825	999.900024	999.900024	2000009.625000	2.5647442688408974158743181224
1.799	26.269842	26.286825	999.900024	999.900024	2000012.750000	0.4359420943597968457631649292
1.863	26.252115	26.298935	999.900024	999.900024	2000009.625000	-0.3503438696788707700002154161
1.926	26.269577	26.291826	999.900024	999.900024	2000014.250000	2.1717415990242671489254321403
1.987	26.269577	26.291826	999.900024	999.900024	2000012.750000	8.019829742501959275232414625
2.052	26.273809	26.302881	999.900024	999.900024	2000011.125000	6.3952950013208102348221982607
2.114	26.255554	26.303934	999.900024	999.900024	2000007.875000	-1.4043954619855362762250075361
2.178	26.255554	26.303934	999.900024	999.900024	2000009.625000	-3.0176405686913830795287516694
2.243	26.254234	26.285511	999.900024	999.900024	2000011.125000	-2.6409276395462008811489111942
2.306	26.271692	26.290773	999.900024	999.900024	2000014.250000	-0.9301677835608693483213329564
2.368	26.271692	26.290773	999.900024	999.900024	2000012.750000	2.0605589071787794956451492148
2.434	26.246296	26.299458	999.900024	999.900024	2000014.250000	2.5335675769411803565677668684
2.494	26.246296	26.299458	999.900024	999.900024	2000012.750000	6.2546785089391093496700359585
2.557	26.272751	26.294724	999.900024	999.900024	2000009.625000	5.1961908549075456954071087396
2.619	26.266932	26.292879	999.900024	999.900024	2000014.250000	7.6469426174262672275547911776
2.679	26.266932	26.292879	999.900024	999.900024	2000009.625000	0.1088601686124365817317666585
2.742	26.251850	26.294197	999.900024	999.900024	2000012.750000	-2.372478887469737118020473912
2.806	26.249735	26.306040	999.900024	999.900024	2000009.625000	-7.010053453574439281646587764
2.865	26.249735	26.306040	999.900024	999.900024	2000009.625000	-7.0668634138736134182044258979
